track_id,spotify_id,title,artist,duration_seconds,playlists,bpm,musical_key,camelot,energy,groove,vocal,role,key_confidence,preview_seconds,dynamic_range,harmonic_share,percussive_share,preview_url,analysis_source
spotify-093uABBO0VQxuHUgr4na2C,093uABBO0VQxuHUgr4na2C,After Everything,Miiles44,147,"Techno, Afro, Soul & EDM | House Vibezz",112.0,B minor,10A,0.579,house,0.533,bridge,0.672,17.48,0.1793,0.5966,0.171,https://p.scdn.co/mp3-preview/79da5a11b9ab0e2c356c637a2ed0155c5968838a,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-1de6YDcMK93DRCIv71DPYA,1de6YDcMK93DRCIv71DPYA,Where Did Your Love Go,"Moonshine, Sincerely Suav",181,"Techno, Afro, Soul & EDM | House Vibezz",112.0,F minor,4A,0.57,house,0.502,bridge,0.563,17.6,0.1569,0.5762,0.1841,https://p.scdn.co/mp3-preview/4174f4cca601d09a78e0e4e0e4beb7254ffdaa43,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-4JdJb1IvZ2AacLemLGonDy,4JdJb1IvZ2AacLemLGonDy,Hello (The Sun Is Up Where Are You),Mizmo,191,"Techno, Afro, Soul & EDM | House Vibezz",125.0,F minor,4A,0.483,house,0.655,bridge,0.721,15.47,0.106,0.6756,0.1588,https://p.scdn.co/mp3-preview/35f30e4137d3a3c16c5ff6587caf953ed27bd955,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-72qknjLxZXE6iE6h27sIHY,72qknjLxZXE6iE6h27sIHY,nobody (make me feel),"oskar med k, Khalid",165,"Techno, Afro, Soul & EDM | House Vibezz",125.0,F# minor,11A,0.454,house,0.53,builder,0.602,15.4,0.059,0.5948,0.1115,https://p.scdn.co/mp3-preview/1651db735b2e8d6228d8dd88f111cdc6149a11c8,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-0l7cfP9dZBrkkNkR7NXnQO,0l7cfP9dZBrkkNkR7NXnQO,Gimme That Bounce,Mau P,217,"Techno, Afro, Soul & EDM | Tech House Vibezz",126.0,D# major,5B,0.904,tech-house,0.321,peak,0.592,29.71,0.4234,0.459,0.235,https://p.scdn.co/mp3-preview/356b3442a066dbefdf790db0ac4ff45d8f63dd6d,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-10pfamFYvg5ftwq6rGJrWx,10pfamFYvg5ftwq6rGJrWx,Can't Decide,"Max Dean, Luke Dean, Locky",175,"Techno, Afro, Soul & EDM | Tech House Vibezz",131.0,G# major,4B,0.431,tech-house,0.278,builder,0.67,29.71,0.1969,0.4309,0.2476,https://p.scdn.co/mp3-preview/32fad67cfd3e55251769568cd7ebba544984a1fe,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-3DqOJ2BoddzZpNdty3okJH,3DqOJ2BoddzZpNdty3okJH,RIZZ,AYYBO,200,"Techno, Afro, Soul & EDM | Tech House Vibezz",128.0,G major,9B,0.562,tech-house,0.04,bridge,0.661,15.12,0.1842,0.2724,0.4905,https://p.scdn.co/mp3-preview/31c201e14a505353918ee6cb1ba52393a3755c5c,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-6KrrcOQiX7NQ4h038wKTUy,6KrrcOQiX7NQ4h038wKTUy,neck,Mau P,220,"Techno, Afro, Soul & EDM | Tech House Vibezz",129.0,G major,9B,0.648,tech-house,0.329,bridge,0.566,14.88,0.1516,0.464,0.2506,https://p.scdn.co/mp3-preview/37fc157d9bb464c4cfd3f3d17aa772b005c051bc,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-0PaZ052mHgQ1Ky2uDoa6Tr,0PaZ052mHgQ1Ky2uDoa6Tr,Take It Away,"Lucas Estrada, Heliograph, Palm Brothers, Palau",172,"Techno, Afro, Soul & EDM | Afro Vibezz",120.0,D major,10B,0.503,afro,0.564,bridge,0.705,16.0,0.1042,0.6165,0.1793,https://p.scdn.co/mp3-preview/22ad6df662b0a7f2bcb06cbac1843bf4b42e5309,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-0tlAgfYIDCcJ3qxP9nzmHE,0tlAgfYIDCcJ3qxP9nzmHE,Hypnotized,"Lucas Estrada, Heliograph, Samuel Prince",177,"Techno, Afro, Soul & EDM | Afro Vibezz",123.0,F# minor,11A,0.331,afro,0.524,builder,0.707,15.6,0.0549,0.5905,0.2073,https://p.scdn.co/mp3-preview/a44224ff18d308b75bf5d43d91b6ac59b4982cbc,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-1WEvnyNP1MxPnMsYqFd3dk,1WEvnyNP1MxPnMsYqFd3dk,Your Love,"Heliograph, Amè",155,"Techno, Afro, Soul & EDM | Afro Vibezz",120.0,F minor,4A,0.451,afro,0.264,bridge,0.734,16.0,0.1186,0.4217,0.2661,https://p.scdn.co/mp3-preview/1e3d14293ccea5896456eee6af26bea9bd01c3b8,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-1YH2pK01IAb9S7JiKT1MPu,1YH2pK01IAb9S7JiKT1MPu,You're So Bad,"Lucas Estrada, Heliograph, Samuel Prince",198,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,F# minor,11A,0.829,afro,0.591,peak,0.638,15.74,0.1862,0.6341,0.1435,https://p.scdn.co/mp3-preview/961a8d2a9b985134de6af539763f13d727fa3da0,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-2aTHmDr4tQkdJmVPJyfmgL,2aTHmDr4tQkdJmVPJyfmgL,Nuthin’ But A “G” Thang,"aMouse, Heliograph",205,"Techno, Afro, Soul & EDM | Afro Vibezz",117.0,B major,1B,0.728,afro,0.547,bridge,0.579,16.27,0.165,0.6055,0.1634,https://p.scdn.co/mp3-preview/259ebb37786f4407b8e38948d13086550030e902,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-3Bnc1jf9daAooE7dfYZkV4,3Bnc1jf9daAooE7dfYZkV4,We Dance,"Lucas Estrada, Heliograph, Palau",204,"Techno, Afro, Soul & EDM | Afro Vibezz",117.0,C# major,3B,0.537,afro,0.436,bridge,0.576,16.27,0.1028,0.5331,0.1876,https://p.scdn.co/mp3-preview/1e1bdc5a14e81ca661340e40b19f41fa412ba0e3,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-3CGJ2KUaPOprDlKz9XgiF7,3CGJ2KUaPOprDlKz9XgiF7,One Kiss,"Heliograph, Palau",165,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,D# minor,2A,0.51,afro,0.625,bridge,0.584,15.74,0.1219,0.6563,0.1391,https://p.scdn.co/mp3-preview/ea6b8b838c010ba92b7060f0c4132085fafdb284,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-3dXrYAexwAonlygTs1cDOn,3dXrYAexwAonlygTs1cDOn,Moonlight,Heliograph,186,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,D major,10B,0.466,afro,0.594,bridge,0.586,15.74,0.1269,0.6362,0.1308,https://p.scdn.co/mp3-preview/bbac3ed716f309f60488606fd78b15cf5e9c7d85,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-6M7jWqrOtwMxycjbYXhipu,6M7jWqrOtwMxycjbYXhipu,Love Everything You Do,Heliograph,157,"Techno, Afro, Soul & EDM | Afro Vibezz",120.0,G# minor,1A,0.403,afro,0.317,builder,0.643,16.0,0.1147,0.4561,0.2377,https://p.scdn.co/mp3-preview/17e72192bb0bbd85437e9597f37736a7fa77a991,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-7LapSXUTWUXy5r55fSi9gf,7LapSXUTWUXy5r55fSi9gf,Dale Papi,"Vidojean X Oliver Loenn, Heliograph, Berat Oz",167,"Techno, Afro, Soul & EDM | Afro Vibezz",120.0,F# minor,11A,0.533,afro,0.511,bridge,0.552,16.0,0.1838,0.5824,0.2061,https://p.scdn.co/mp3-preview/1742fc4392f244d5154b0fdbbb1d155314420fa3,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-7uS9LjYK2CV7WGWj44tYV7,7uS9LjYK2CV7WGWj44tYV7,Sweat,Heliograph,160,"Techno, Afro, Soul & EDM | Afro Vibezz",126.0,D major,10B,0.598,afro,0.621,bridge,0.78,15.24,0.1618,0.6534,0.1422,https://p.scdn.co/mp3-preview/c1bdcd86b8d90a6c57b76c965f991496abe2aad6,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
